問題,答え,読み,最終確認日
『リップ・ヴァン・ウィンクル』など30以上の短編小説・随筆からなる、アメリカの作家ワシントン・アーヴィングの物語集は何でしょう？,『スケッチ・ブック』,スケッチブック,2020/07/02
1358年にギョーム・カールの指導の下、百年戦争中のフランスで発生した大規模な農民反乱のことを、何の乱というでしょう？,ジャックリーの乱,ジャックリー,2020/07/02
1775年3月23日、リッチモンドで行った演説の中で「われに自由を与えよ、しからずんば死を」という有名な言葉を残した、アメリカの政治家は誰でしょう？,パトリック・ヘンリー,ヘンリー,2020/07/02
1856年にパンダーによって最初に発見され、現在はクリダグナサスなどの脊椎動物の歯であると考えられている、カンブリア紀から三畳紀までの地層に出土し示準化石として用いられる微化石は何でしょう？,コノドント,コノドント,2020/07/02
1915年に行われた第1回全国中等学校優勝野球大会で、旧制秋田中との決勝戦を制し初代優勝校となり、現在は京都府立鳥羽高校が流れを汲んでいる旧制中学校は「何中」でしょう？,京都二中,きょうとに,2020/07/02
1953年にリーズ大学のモーガンとアダムソンにより考案された、複数の運動メニューを間を置かずに繰り返すことで筋力や持久力の向上を図る訓練方法を、英語で「何トレーニング」というでしょう？,サーキットトレーニング,サーキット,2020/07/02
1981年、フロンティア電子理論の発表によって日本人として初めてノーベル化学賞を受賞した化学者は誰でしょう？,福井謙一,ふくいけんいち,2020/07/02
1996年のアトランタオリンピック・男子サッカーのブラジル戦で決勝ゴールを決め、いわゆる「マイアミの奇跡」と呼ばれる番狂わせの立役者となった、元日本代表の選手は誰でしょう？,伊東輝悦,いとうてるよし,2020/07/02
1万匹に1～2匹しか捕れないといわれている、卵巣や精巣が未成熟で脂が乗っている秋鮭のことを何というでしょう？,鮭児,けいじ,2020/07/02
4世紀末にプトレマイオス朝の首都アレクサンドリアに建設され、英単語「museum」の語源ともなった王立研究所は何でしょう？,ムセイオン,ムセイオン,2020/07/02
あさのあつこの小説のタイトルにもなっている、野球でピッチャーとキャッチャーのコンビを指す言葉は何でしょう？,バッテリー,バッテリー,2020/07/02
アメリカ・ニューメキシコ州のカランポーという土地に住み、「ブランカ」という名前の妻がいた、『シートン動物記』に登場する狼王の名前は何でしょう？,ロボ,ロボ,2020/07/02
オリエンタリズムの流行した19世紀前半にドミニク・アングルらフランスの画家によってよく題材とされた、オスマン帝国の君主に仕えた女奴隷のことを、トルコ語で「部屋」を意味する言葉から何というでしょう？,オダリスク,オダリスク,2020/07/02
かつてはその形状から「べろかまぼこ」や「手のひらかまぼこ」などと呼ばれていたが、伊達家の家紋にちなんで現在の名称で呼ばれるようになった、仙台みやげの定番となっている練り製品は何でしょう？,笹かまぼこ,ささかまぼこ,2020/07/02
ギリシャ語で「宝物庫」という意味の言葉に由来する、言葉を意味によって分類した類語辞典のことを指す言葉は何でしょう？,シソーラス,シソーラス,2020/07/02
クラシックギターの奏法で、弦を弾いたあと、指を別の弦に当てて止める弾き方を、「寄りかかる」という意味のスペイン語で何奏法というでしょう？,アポヤンド奏法,アポヤンド,2020/07/02
サッカーの「ミラノダービー」で対戦する2つのチームは、インテル・ミラノと何でしょう？,ACミラン,ACミラン,2020/07/02
ステレオ録音方式の1つで、「ダミー・ヘッド」などを使用して人間の鼓膜に近いところにマイクを配置し録音をすることにより、イヤホンなどで聴いた時にその場にいるかのような臨場感を再現できる方式を「何録音」というでしょう？,バイノーラル録音,バイノーラル,2020/07/02
そのペンネームはスペイン語で「何もなくて何もない」という意味がある、医師としてアルコール依存症治療に尽力する一方、『パパのおくりもの』『れとると』などの随筆や小説を発表した作家は誰でしょう？,なだいなだ,なだいなだ,2020/07/02
その独特な演奏法は「塩梅」と呼ばれる、雅楽において笙、龍笛とともに「三管」と称される楽器は何でしょう？,篳篥,ひちりき,2020/07/02
その名はアラビア語で「小さな城」という意味の言葉に由来する、アラブ石油輸出国機構・OAPECの本部が置かれている中東の国はどこでしょう？,クウェート,クウェート,2020/07/02
トルコ語で「大砲の門」という意味がある、15世紀後半にオスマン帝国のメフメト2世によって建造されたイスタンブールにある宮殿は何でしょう？,トプカプ宮殿,トプカプ,2020/07/02
ニューヨークにおいて南北に走る道のことを、東西に走る「ストリート」に対して何というでしょう？,アベニュー,アベニュー,2020/07/02
パキスタンに残る「ハラッパー」や「モヘンジョダロ」といえば、いずれも何文明の都市遺跡でしょう？,インダス文明,インダス,2020/07/02
パリ音楽院ではボイエルデューに師事していた、オペラ『ロンジュモーの郵便馬車』やバレエ『ジゼル』などの作品があるフランスの作曲家は誰でしょう？,アドルフ・アダン,アダン,2020/07/02
ビジネス用語で、プロジェクトがどこまで進んでいるか確認するために重要な中間目標地点のことを、道路に一定間隔に置かれている標石にたとえて何というでしょう？,マイルストーン,マイルストーン,2020/07/02
ヘリコプターがエンジンの動力を失った時に、降下時の風力でローターを回して緩やかに着陸する飛行方法を英語で何というでしょう？,オートローテーション,オートローテーション,2020/07/02
モード・ジャズの先駆けとされる『カインド・オブ・ブルー』や、フュージョンの先駆けとされる『ビッチェズ・ブリュー』などの名盤を残し、「モダン・ジャズの帝王」などと称されるアメリカのトランペット奏者は誰でしょう？,マイルス・デイヴィス,マイルスデイヴィス,2020/07/02
扱いやすく、家庭用として一般的に用いられている、肉・魚・野菜の3つを扱えることからその名が付いた包丁は「何包丁」でしよう？,三徳包丁,さんとく,2020/07/02
一般社団法人キャッシュレス推進協議会が策定した、日本でのQRコード・バーコードによる決済システムの統一規格のことを、アルファベット4文字で何というでしょう？,JPQR,JPQR,2020/07/02
何らかの事情で車輪が出せなかった航空機が、機体そのものを地面にこすらせて行う緊急着陸のことを、一般に何着陸というでしょう？,胴体着陸,どうたい,2020/07/02
夏と秋の2回徴税されたことから名付けられた、唐中期の780年に宰相であった楊炎の建議によって租庸調制に代わって施行された税法は何でしょう？,両税法,りょうぜい,2020/07/02
海に面する都道府県のうち、唯一自然島が1つもないのはどこでしょう？,大阪府,おおさか,2020/07/02
乾燥による風味の劣化を防ぐため、干し椎茸を戻す際にぬるま湯に加えるとよいとされている調味料は何でしょう？,砂糖,さとう,2020/07/02
漢字では「鯔」や「鰡」と表記される、「行きつくところ」などを意味する「とどのつまり」の語源となった魚の標準和名は何でしょう？,ボラ,ボラ,2020/07/02
韓国料理で、ボッサム、デジカルビ、サムギョプサルといえば、通常いずれも何の肉を使うでしょう？,ブタ,ブタ,2020/07/02
紀元前31年、オクタウィアヌス率いるローマ軍が、プトレマイオス朝エジプトのクレオパトラとアントニウスによる連合軍を打ち破った戦いを、何の海戦というでしょう？,アクティウムの海戦,アクティウム,2020/07/02
宮崎駿監督のアニメ映画『紅の豚』で、マダム・ジーナの声を演じ、主題歌の『さくらんぼの実る頃』やエンディングテーマの『時には昔の話を』を歌った、「おときさん」の愛称で知られる歌手は誰でしょう？,加藤登紀子,かとうときこ,2020/07/02
魚釣りで、本命で狙っていた魚が1匹も釣れないことを俗に何というでしょう？,坊主,ぼうず,2020/07/02
銀行の業務の中でも特に、個人や中小企業を対象とした小口の金融業務のことを、「ホールセールバンキング」に対して何バンキングというでしょう？,リテールバンキング,リテール,2020/07/02
銀行の業務の中でも特に、大企業や官公庁を対象とした大口の金融業務のことを、「リテールバンキング」に対して何バンキングというでしょう？,ホールセールバンキング,ホールセール,2020/07/02
香水などを入れ、霧状にして吹き付ける時に使うスプレー容器のことを、英語で何というでしょう？,アトマイザー,アトマイザー,2020/07/02
最も明るい星はγ星のエルタニンで、約5000年前は北極星であったトゥバンがα星となっている、北天の星座は何でしょう？,りゅう座,りゅう,2020/07/02
材木が燃えにくく、7度火に入れても燃えきらないためその名が付いたとされる、北海道などでは街路樹としても利用されるバラ科の落葉樹は何でしょう？,ナナカマド,ナナカマド,2020/07/02
鹿児島県で市役所が九州本土以外の島にある2つの市とは、西之表市と何市でしょう？,奄美市,あまみ,2020/07/02
芝居小屋などで支払う入場料のことを、「興行場所の入り口」を指す言葉を用いて何というでしょう？,木戸銭,きどせん,2020/07/02
呪術で日照りを起こした上人を、宮中第一の美女・雲の絶間姫が色じかけで堕落させて雨を降らせるという内容である、歌舞伎十八番の1つに数えられる演目は何でしょう？,『鳴神』,なるかみ,2020/07/02
就職情報誌の『就職四季報』や、企業情報誌の『会社四季報』を発行している出版社はどこでしょう？,東洋経済新報社,とうようけいざいしんぽう,2020/07/02
小柄であったことから「スズメ」を意味する芸名を持つ、『ミロール』『バラ色の人生』『愛の讃歌』などの代表曲を持つフランスのシャンソン歌手は誰でしょう？,エディット・ピアフ,ピアフ,2020/07/02
人語を話し、経を読んだという伝説がある、奈良県王寺町のマスコットにもなっている聖徳太子の愛犬の名前は何でしょう？,雪丸,ゆきまる,2020/07/02
数学において、平面上のある曲線の接線に対して垂直で、かつその接点を通る直線のことを、この曲線の何線というでしょう？,法線,ほう,2020/07/02
世界救世教の教祖・岡田茂吉のコレクションを元として1956年に開館した「熱海美術館」を前身とする、尾形光琳の『紅白梅図屏風』などを所蔵していることで知られる静岡県の私立美術館は何でしょう？,MOA美術館,MOA,2020/07/02
成熟が遅く果肉が白いことから名付けられた、その大きさから「柑橘類の王様」と称されるザボンの一種は何でしょう？,晩白柚,バンペイユ,2020/07/02
昔話『浦島太郎』とストーリーが似ていることから「西洋版浦島太郎」とも呼ばれる、アメリカの小説家ワシントン・アーヴィングの短編小説は何でしょう？,『リップ・ヴァン・ウィンクル』,リップヴァンウィンクル,2020/07/02
早船ちよの小説を原作とする吉永小百合主演の映画のタイトルにも使われている、鋳物製造において銑鉄を溶かす際に用いる円筒形の溶解炉を何というでしょう？,キューポラ,キューポラ,2020/07/02
大手出版社の小学館と集英社を中心とした企業グループを、その本社所在地の地名から「何グループ」というでしょう？,一ツ橋グループ,ひとツばし,2020/07/02
地方公共団体が、自治体の不正疑惑などを解明するために議会に設置する特別委員会を、地方自治法の条文の番号から何条委員会というでしょう？,百条委員会,100,2020/07/02
中国の戦国時代に趙の首府であった都市で、慣用句で「人の世の栄枯盛衰は儚いものだ」というとことを「ここの夢」というのはどこでしょう？,邯鄲,かんたん,2020/07/02
東京都庁が位置するのは、東京都の何区でしょう？,新宿区,しんじゅく,2020/07/02
日の出前後・日の入り前後の、魚が釣れる確率が非常に高いとされる時間帯のことを、釣り用語で何というでしょう？,まずめ,まずめ,2020/07/02
日本では健康食品としておなじみの、ヤエヤマアオキの果実から作られるジュースのことを、ハワイ語に由来する言葉で「何ジュース」というでしょう？,ノニジュース,ノニ,2020/07/02
日本人選手に由来する体操の技で、「ヤマムロ」「タナカ」「モリスエ」「グシケン」といえば、その競技は何でしょう？,へいこうぼう,へいこうぼう,2020/07/02
日本発祥のスポーツで、主に小学校の体育で行われる、ゴールマンやガードマンといったポジションのあるバスケットボールに似たスポーツは何でしょう？,ポートボール,ポートボール,2020/07/02
貧しいときから連れ添って苦労を共にしてきた妻のことを、酒かすや米ぬかのような粗末な食べ物を意味する言葉を使って「何の妻」というでしょう？,糟糠の妻,そうこう,2020/07/02
夫である高橋和之とグランドジョラスの山頂で結婚式を挙げたエピソードも残る、女性として初めてアルプス三大北壁の登攣に成功した登山家は誰でしょう？,今井通子,いまいみちこ,2020/07/02
武田惣角に大東流柔術を学び、「和合」や「万有愛護」を理念とする合気道を創始した武道家は誰でしょう？,植芝盛平,うえしばもりへい,2020/07/02
福音館書店版の絵本『おおきなかぶ』の挿絵も手掛けている、『帽子・夏』や『群馬の人』などの代表作がある彫刻家は誰でしょう？,佐藤忠良,さとうちゅうりょう,2020/07/02
福原愛、石川佳純とともに2012年ロンドンオリンピックの卓球女子団体で銀メダルを獲得した、栃木県出身の元卓球選手は誰でしょう？,平野早矢香,ひらのさやか,2020/07/02
平安時代に愛発関に代わって三関の1つに加えられ、小倉百人一首では蝉丸や清少納言がここを詠み込んだ歌を残している、古代の関所はどこでしょう？,逢坂関,おうさかのせき,2020/07/02
本名を松岡克由といい、前座・二つ目時代には「柳家小よし」「柳家小ゑん」と名乗っていた、TV番組の『笑点』を立ち上げ初代司会者を務めたことや、落語立川流を創設したことで知られる日本の落語家は誰でしょう？,（7代目）立川談志,たてかわだんし,2020/07/02
「ここに地終わり海始まる」と刻まれた石碑が立つ、ポルトガルにあるユーラシア大陸最西端の岬は何岬でしょう？,ロカ岬,ロカ,2020/07/01
「ねじりモーメント」ともいわれる、固定された回転軸を中心に働く力のモーメントを何というでしょう？,トルク,トルク,2020/07/01
「工業株30種」「輸送株20種」「公共株15種」とこれらを合わせた「総合65種」の4種類からなる、リアルタイムで公表されるアメリカの代表的な株価指数を、一般に「何平均株価」というでしょう？,ダウ平均株価,ダウ,2020/07/01
『ドレミの歌』の日本語の歌詞を手掛けた歌手で、代表曲に『学生時代』や『南国土佐を後にして』などがあるのは誰でしょう？,ペギー葉山,ペギーはやま,2020/07/01
『ホテル・ニューハンプシャー』『サイダーハウス・ルール』『ガープの世界』などの代表作がある、アメリカの小説家は誰でしょう？,ジョン・アーヴィング,アーヴィング,2020/07/01
『探偵！ナイトスクープ』『新婚さんいらっしゃい！』『パネルクイズ アタック25』などの番組を制作している、「ABC」の略称で知られる大阪のテレビ局はどこでしょう？,朝日放送テレビ,あさひほうそう,2020/07/01
ー般的な5×5マスのビンゴカードに書かれる最大の番号はいくつでしょう？,75,75,2020/07/01
1920年の第1回はイギリスのカムラッドが受賞した、毎年10月の第1日曜日にフランスのロンシャン競馬場で開催される世界的な競馬のレースは何賞でしょう？,凱旋門賞,がいせんもん,2020/07/01
1949年、デトロイト銀行の頭取であった人物の指導に基づき、吉田内閣が実施した一連の経済財政政策のことを、その人物の名前から「何・ライン」というでしょう？,ドッジ・ライン,ドッジ,2020/07/01
1961年には『ウエスト・サイド物語』で、1965年には『サウンド・オブ・ミュージック』でアカデミー作品賞・監督賞を受賞しているアメリカの映画監督は誰でしょう？,ロバート・ワイズ,ワイズ,2020/07/01
1989年の第1回は集積回路の発明で知られるジャック・キルビーとロバート・ノイスが受賞している、「工学分野のノーベル賞」とも呼ばれる全米技術アカデミーによって授与される賞は何でしょう？,チャールズ・スターク・ドレイパー賞,ドレイパー,2020/07/01
2004年に宇都宮で開催された「宮コン」が発祥とされる、地域振興を目的とした大規模なコンパイベントを一般に何というでしょう？,街コン,まちコン,2020/07/01
JR山手線が乗り入れる駅のうち、「東西南北」いずれかの漢字が含まれている2つの駅とは、東京駅と何駅でしょう？,西日暮里駅,にしにっぽり,2020/07/01
アインシュタイン方程式の解として理論的に存在が議論されている、事象の地平線からあらゆる物質を放出すると考えられている天体のことを、「ブラックホール」に対して何というでしょう？,ホワイトホール,ホワイトホール,2020/07/01
アヘンに含まれる睡眠物質の研究に従事し、1805年頃にモルヒネの単離・抽出に成功したドイツの薬剤師は誰でしょう？,フリードリヒ・ゼルチュルナー,ゼルチュルナー,2020/07/01
エジプトのヘリオポリスで産出したため「ヘリオトロープ」とも呼ばれ、止血に有効であるなど血液関係の病気全般に対して良い影響を持つとされる、3月の誕生石の1つは何でしょう？,ブラッドストーン,ブラッドストーン,2020/07/01
かつて一帯にオリーブなどの果樹園が広がっていたことから名が付いた、約3kmに渡って続くシンガポールのメインストリートを「何通り」というでしょう？,オーチャード通り,オーチャード,2020/07/01
ゲートボールにおいて、先攻のチームが使用するボールの色は一般的に何色でしょう？,赤,あか,2020/07/01
ゲームセンターに設置されるメダルゲームで、競馬の『STARHORSE』シリーズ、プッシャーゲームの『アラビアンジュエル』や『バベルのメダルタワー』を展開する企業は何でしょう？,セガ・インタラクティブ,セガ,2020/07/01
サン＝サーンスの第3番、ラロの第2番、ブルッフの第2番などのバイオリン協奏曲を初演し献呈を受けた、作曲家としても『ツィゴイネルワイゼン』などの代表曲があるスペイン出身のバイオリニストは誰でしょう？,パブロ・デ・サラサーテ,サラサーテ,2020/07/01
シャープの技術「プラズマクラスター」のロゴマークのモチーフになっている果物は何でしょう？,ブドウ,ブドウ,2020/07/01
スウェーデンの科学者H・Z・キリンにより発見された、ガン抑制効果があるといわれ注目されている、海藻などに含まれる滑り成分を何というでしょう？,フコイダン,フコイダン,2020/07/01
そのタイトルには「第5屠殺場」という意味がある、1969年に出版されたカート・ヴォネガットの小説は何でしょう？,『スローターハウス5』,スローターハウス5,2020/07/01
その第2部は作者が暖炉に捨ててしまったためほとんど残っていない、死亡した農奴を買い集めて大儲けを図るチチコフを主人公とするニコライ・ゴーゴリの長編小説は何でしょう？,『死せる魂』,しせるたましい,2020/07/01
チョコミント風味のアイスクリームのなかに、チョコレートコーティングされたポップロックキャンディが入っている、サーティワンアイスクリームの定番フレーバーは何でしょう？,ポッピングシャワー,ポッピングシャワー,2020/07/01
ドッジボールの公式ルールで、腕や足などでボールを弾いたあとにそのボールをキャッチする反則のことを、「何・キャッチ」というでしょう？,イリーガル・キャッチ,イリーガル,2020/07/01
トロイア戦争で英雄アキレスによって討たれたという、ギリシャ神話に登場するアマゾーンの女王は誰でしょう？,ペンテシレイア,ペンテシレイア,2020/07/01
ニコライ2世の夏の別荘として建築家のクラスノフが建設した、1945年にヤルタ会談が開かれたことで知られるクリミア半島にある宮殿は何でしょう？,リヴァディア宮殿,リヴァディア,2020/07/01
ノルウェーの首都オスロの旧名に由来する、スキーをそろえたまま急速度で回転する技術のことを何というでしょう？,クリスチャニア,クリスチャニア,2020/07/01
ハワイでは「マヒマヒ」と呼ばれ、漢字では「鬼頭魚」や「鱰」などと表記されるスズキ目の食用魚は何でしょう？,シイラ,シイラ,2020/07/01
ヒュー・ロフティングの児童文学『ドリトル先生』シリーズで、ドリトル先生に動物語を教えるオウムの名前は何でしょう？,ポリネシア,ポリネシア,2020/07/01
マサチューセッツ工科大学のリチャード・ビンゼルによって提唱された、地球近傍天体が地球に衝突する確率や衝突時に予測される被害状況を示す尺度は何でしょう？,トリノスケール,トリノスケール,2020/07/01
ムエタイの選手が試合前に頭に着用する、闘いのお守りとしての意味があるリングを何というでしょう？,モンコン,モンコン,2020/07/01
ライブの際には演奏を「えんじぇるズ」が行っている、『ワンルームシュガーライフ』や『ダダダダ天使』などの代表曲があるアーティストは誰でしょう？,ナナヲアカリ,ナナヲアカリ,2020/07/01
一般に「自然界の4つの力」と呼ばれる4つの相互作用とは、強い相互作用、弱い相互作用、重力相互作用と何相互作用でしょう？,電磁相互作用,でんじ,2020/07/01
英語で「ring finger」と呼ばれる、左手の指のうちー般的に結婚指輪をはめるのはどの指でしょう？,くすり,薬指,2020/07/01
英語では「アニーリング」という、金属材料を適当な温度に加熱してしばらく保持したのち、ゆっくり長時間冷却する熱処理を一般に何というでしょう？,焼きなまし,やきなまし,2020/07/01
音楽の基礎訓練として行われる、旋律を母音やドレミの階名で歌う練習方法のことで、現在では音楽の基礎教育全般を指すフランス語の言葉は何でしょう？,ソルフェージュ,ソルフェージュ,2020/07/01
学名を「Gallus gallus domesticus」という、名古屋コーチンや白色レグホンといった品種がある動物は何でしょう？,鶏,にわとり,2020/07/01
鎌倉の大仏のように、屋根のないところで野ざらしにされている大仏のことを、漢宇2文字で何の大仏というでしょう？,露座の大仏,ろざ,2020/07/01
気体定数をアボガドロ定数で割ることにより得られる定数のことを、統計力学の分野で大きな業績を残したオーストリアの物理学者にちなんで「何定数」というでしょう？,ボルツマン定数,ボルツマン,2020/07/01
菊池寛の盟友であった佐佐木茂索の助言によって定められたとされる、芥川賞と直木賞の正賞として贈られる賞品は何でしょう？,懐中時計,かいちゅうどけい,2020/07/01
金沢の「箔一」や京都の「加美屋」「よーじや」などがそのメーカーとして知られる、金箔の製造時に用いる箔打紙の再利用品として生まれ、肌の余分な皮脂を取るのに用いられる化粧用の紙を何というでしょう？,あぶらとり紙,あぶらとりがみ,2020/07/01
元々は速記文字を普通の文字に戻すことを指した、現在ではテープ起こしや、1度翻訳された言葉をもとの言葉に戻すことを指す言葉は何でしょう？,反訳,はんやく,2020/07/01
現在NHKが放送している4種類のBS放送とは、「BS1」「BS4K」「BS8K」と何でしょう？,BSプレミアム,BSプレミアム,2020/07/01
現在のものは16世紀末にアントニオ・ダ・ポンテの設計により作られ、「へ」の字型のアーチ橋の上にアーケードが並んだ構造が特徴的な、ヴェネツィアのカナル・グランデに架かる橋は何橋でしょう？,リアルト橋,リアルト,2020/07/01
個性的かつ退廃的な美貌は「100万ドルの脚線美」と称えられた、ジョセフ・フォン・スタンバーグ監督の映画『嘆きの天使』や『モロッコ』に出演したドイツ出身の女優は誰でしょう？,マレーネ・ディートリヒ,ディートリヒ,2020/07/01
古来からの刀工の名に「光」がつくものが多いことからこう呼ばれる、竹などを削って刀のような形に仕立て、真剣の代わりとして使われたもののことを、漢字2文字で何というでしょう？,竹光,たけみつ,2020/07/01
後醍醐天皇を始めとする7人の天皇から7つの国師号を授与されたことから「七朝帝師」とも称される、鎌倉の瑞泉寺や京都の西芳寺、天竜寺などの庭園を設計して名を馳せた鎌倉時代の僧侶は誰でしょう？,夢窓疎石,むそうそせき,2020/07/01
鉱物のコランダムを構成する2種類の元素とは、酸素と何でしょう？,アルミニウム,アルミニウム,2020/07/01
高田信一が作曲を、佐伯孝夫が作詞を手掛けた、1947年の第2回国民体育大会から使用されている国民体育大会の大会歌は何でしょう？,『若い力』,わかいちから,2020/07/01
山伏などの修験者が着る麻でできた法衣のことを、漢字2文字で何というでしょう？,篠懸／鈴掛,すずかけ,2020/07/01
歯科医療の用語で、「歯周病」を意味するアルファベット1文字は何でしょう？,P,P,2020/07/01
縦545mm×横406mmと、タブロイド判の2倍の大きさになっている、日本の一般的な日刊新聞のサイズのことを「何判」というでしょう？,ブランケット判,ブランケット,2020/07/01
